Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,MAR 06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
1,MAR 08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
2,MAR 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
3,MAR 12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
4,MAR 14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
5,MAR 15,156.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
6,MAR 16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
7,MAR 71,156.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
8,MAR 72,156.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
9,MAR 74,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
10,MAR 80A,157.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
11,MAR 81A,157.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
12,MAR 82A,157.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
13,MAR 83A,157.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
