Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,BAOF 1,462.125000,,0.000000,TSQL,69.3,69.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
1,BAOF 2,462.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
2,BAOF 3,462.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
3,BAOF 4,462.425000,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
4,BAOF 5,462.525000,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
5,BAOF 6,462.625000,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
6,BAOF 7,462.725000,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
7,BAOF 8,462.825000,,0.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
8,BAOF 9,462.925000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
9,BAOF 10,463.025000,,0.000000,DTCS,88.5,88.5,051,NN,051,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
10,BAOF 11,463.125000,,0.000000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
11,BAOF 12,463.225000,,0.000000,DTCS,88.5,88.5,155,RR,155,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
12,BAOF 13,463.525000,,0.000000,DTCS,88.5,88.5,465,RR,465,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
13,BAOF 14,450.225000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
14,BAOF 15,460.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
15,BAOF 16,469.950000,,0.000000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
