Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,TANDIL,147.390000,+,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU2EE near Tandil, None OPEN",,,,
1,BENITOJ,147.135000,+,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7DFB near Benito Juarez, None OPEN",,,,
2,VENTANA,146.730000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7DBL near Torquinst, None OPEN",,,,
45,BARC-CQ,145.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal de encuentro BARC (Martes y Jueves a las 21:30),,,,
46,EL LELO,145.720000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Echolink Parque Leloir LU8ARL-L,,,,
47,EL TESE,146.530000,,0.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Echolink Villa Tesei LW8EKI-L,,,,
48,EL SAMI,145.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Echolink San Miguel LU9DJB,,,,
49,EL RAMO,147.430000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU1DGG near Ramos Mejia, None OPEN",,,,
50,EL QUIL,147.570000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LW3DHN near Quilmes, None OPEN",,,,
51,EL CHAS,146.070000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LW3DSM near Chascomus, None OPEN",,,,
52,EL FLOR,144.645000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU9CCQ near Ciudad de Buenos Aires, None OPEN",,,,
55,MT EMER,140.970000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,MTTT/Outdoor Emergencias y escucha activa,,,,
56,MT 1,139.970000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,MTTT/Outdoor Uso primario y normal,,,,
57,MT 2,138.510000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,MTTT/Outdoor Uso secundario,,,,
60,MAR 06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
61,MAR 08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
62,MAR 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
63,MAR 12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
64,MAR 14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
65,MAR 15,156.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
66,MAR 16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
67,MAR 71,156.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
68,MAR 72,156.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
69,MAR 74,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
70,MAR 80A,157.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
71,MAR 81A,157.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
72,MAR 82A,157.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
73,MAR 83A,157.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal Banda Marina VHF,,,,
80,BAOF 1,462.125000,,0.000000,TSQL,69.3,69.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
81,BAOF 2,462.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
82,BAOF 3,462.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
83,BAOF 4,462.425000,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
84,BAOF 5,462.525000,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
85,BAOF 6,462.625000,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
86,BAOF 7,462.725000,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
87,BAOF 8,462.825000,,0.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
88,BAOF 9,462.925000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
89,BAOF 10,463.025000,,0.000000,DTCS,88.5,88.5,051,NN,051,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
90,BAOF 11,463.125000,,0.000000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
91,BAOF 12,463.225000,,0.000000,DTCS,88.5,88.5,155,RR,155,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
92,BAOF 13,463.525000,,0.000000,DTCS,88.5,88.5,465,RR,465,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
93,BAOF 14,450.225000,,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
94,BAOF 15,460.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
95,BAOF 16,469.950000,,0.000000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Canal default Baofeng 888,,,,
101,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
102,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
103,FRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
104,FRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
105,FRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
106,FRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
107,FRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
108,FRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
109,FRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
110,FRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
111,FRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
112,FRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
113,FRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
114,FRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
115,FRS 15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
116,FRS 16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,Compatible con Motorola Talkabout,,,,
