Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CQ VHF,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Frecuencia de llamada en VHF,,,,
1,CQ UHF,432.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Frecuencia de llamada en UHF,,,,
2,CASER V,145.420000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU4EV Radio Club Caseros VHF,,,,
3,CASER U,433.950000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU4EV Radio Club Caseros UHF,,,,
4,PALERMO,434.925000,+,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"Repetidora Centro Atomico Constituyentes, LU1CGB Ciudad de Buenos Aires, UHF",,,,
5,RAMOS U,433.250000,+,5.000000,Tone,74.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU1DM near Ramos Mejia, None OPEN",,,,
6,SANMI V,146.625000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU7DZV San Miguel Radio Club General Sarmiento VHF,,,,
7,SANMI U,433.300000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU7DZV San Miguel Radio Club General Sarmiento UHF,,,,
8,SM DX V,145.495000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU5DSM Radio Club Grupo DX San Miguel,,,,
9,MORON V,147.165000,+,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU1DBQV Radio Club Moron VHF,,,,
10,MORON U,433.500000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU1DBQV Radio Club Moron UHF,,,,
11,BALLE V,147.270000,+,0.600000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Radio club villa ballester LU5DVB,,,,
12,BALLE U,434.400000,+,5.000000,Tone,71.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Radio club villa ballester LU5DVB,,,,
13,G RODRI,147.390000,+,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU3ERU near General Rodriguez, None OPEN",,,,
14,EZEIZA,145.315000,-,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU3EEE near Ezeiza, None OPEN",,,,
15,AMSAT,434.900000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7AA near Ciudad de Buenos Aires, None OPEN",,,,
16,LU4BB,146.805000,-,0.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4BB near Ciudad de Buenos Aires, None OPEN",,,,
17,PZA ROM,147.345000,+,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU1CGB Cerca de Plaza Roma en Microcentro,,,,
18,P MADE,433.100000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Repetidora LU4AA Puerto Madero,,,,
19,P CHA V,147.060000,+,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU5CBA near Ciudad de Buenos Aires, None OPEN",,,,
20,P CHA U,433.800000,+,5.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU5CBA near Ciudad de Buenos Aires, None OPEN",,,,
21,AVELL V,145.345000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7EO near Avellaneda, None OPEN",,,,
22,AVELL U,434.750000,+,5.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU7EO near Avellaneda, None OPEN",,,,
23,BERNA V,146.850000,-,0.600000,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU1EA near Bernal, None OPEN",,,,
24,BERNA U,434.500000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU1EA near Bernal, None OPEN",,,,
25,QUILM V,146.970000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4DQ near Quilmes, None OPEN",,,,
26,EZPEL U,433.650000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4DQ near Quilmes, None OPEN",,,,
27,EZPEL V,145.390000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"LU4DQ near Quilmes, None OPEN",,,,
